proximity,k_feasibility_3,discriminative_power_9,sparsity,instability,coverage,actionable
1.87,4.0,0.45,2.1,4.33,1.0,1.0
1.28,3.75,0.45,2.72,3.85,1.0,1.0
6.32,2.91,0.73,9.46,3.41,1.0,1.0
0.7,3.52,0.62,3.38,3.59,1.0,1.0
0.39,3.55,0.65,1.61,3.75,1.0,1.0
4.11,4.61,0.46,5.61,4.61,1.0,0.89
7.63,5.85,0.59,10.64,5.36,1.0,1.0
0.67,3.38,0.46,0.94,3.4,0.36,0.36
5.1,1.84,0.61,8.26,3.69,1.0,0.98
1.62,2.86,0.87,3.5,3.69,1.0,1.0
1.73,2.89,0.82,3.39,3.69,1.0,1.0
3.78,3.96,0.54,5.63,4.19,1.0,0.99
