proximity,k_feasibility_3,discriminative_power_9,sparsity,instability,coverage,actionable
1.18,2.22,0.36,2.09,2.55,1.0,1.0
0.88,1.7,0.45,7.4,2.02,1.0,1.0
1.36,1.73,0.58,15.55,1.86,1.0,0.62
0.9,1.65,0.45,13.63,1.9,1.0,1.0
1.12,2.08,0.5,5.8,2.47,1.0,1.0
0.79,1.55,0.47,10.47,1.82,1.0,0.49
1.4,1.89,0.52,16.26,2.4,1.0,1.0
2.31,0.83,0.69,17.8,1.74,1.0,0.04
0.67,1.56,0.84,6.72,1.91,1.0,1.0
0.71,1.56,0.83,6.94,1.92,1.0,1.0
1.24,1.78,0.46,10.45,2.18,1.0,0.85
