Proximity,Feasibility,Feasibility w.r.t k-neigbors k=50,Features Changed (normalized),Discriminative Power k=20,DCG @6,explainer
0.487699189264747,0.6396053194665541,1.4329538348369848,0.18181818181818182,0.0,0.3642320744635458,dice
0.1917808219178082,0.3436869521196153,1.2452742219751982,0.09090909090909091,0.0,0.06831370711660699,dice
2.295918367346939,1.9050390811821163,2.5163260118321245,0.2727272727272727,0.0,0.29591836734693877,dice
1.1643835616438356,1.164128449976164,1.5175296929443878,0.18181818181818182,0.0,0.44540741333449047,dice
3.0,1.408242372385763,2.0841228907390468,0.2727272727272727,0.05,0.38685280723454163,dice
1.095890410958904,0.6444924888707133,1.1054177293742709,0.18181818181818182,0.0,0.034156853558303495,dice
2.8,2.0612966527038754,2.620361679621066,0.2727272727272727,0.0,0.3445412464587145,dice
1.1232876712328768,0.9534129512780999,1.6034950961771848,0.18181818181818182,0.6,0.043915954574961634,dice
0.1643835616438356,0.3162896918456427,1.2178769617012255,0.09090909090909091,0.0,0.05855460609994884,dice
1.4960281520057361,0.45428164020051587,1.2430570044596099,0.2727272727272727,0.15,0.2342257240817195,dice
1.2429223744292237,0.5511112086632457,0.8071485687528929,0.2727272727272727,0.55,0.09645994514308498,dice
2.6,1.501358156757552,2.0863043084283395,0.2727272727272727,0.15,0.6452587420785775,dice
1.1095890410958904,0.46725136335525946,0.7301521591189821,0.18181818181818182,0.7,0.039036404066632564,dice
3.0,1.438489117674316,1.716699965317649,0.2727272727272727,0.2,0.38685280723454163,dice
2.2486225895316805,1.6740717257929365,2.160405453788721,0.2727272727272727,0.1,0.5111641020003819,dice
1.487699189264747,0.5574561920318902,1.4112811164264796,0.2727272727272727,0.0,0.7510848816980874,dice
2.191780821917808,1.0301252800452232,1.949449076620835,0.2727272727272727,0.45,0.06831370711660699,dice
2.1232876712328768,1.1251365665704751,1.6968759675715064,0.2727272727272727,0.55,0.043915954574961634,dice
1.8447488584474885,1.720552591767678,2.1026453528827354,0.2727272727272727,0.15,0.35055186199054,dice
1.2704881175082208,0.23908717643818161,0.6732434448606703,0.45454545454545453,0.05,0.4950006401675743,Fimap
1.2716359595651536,0.23793933438124865,0.6725547396265106,0.45454545454545453,0.05,0.49557456119604076,Fimap
1.2700289806854475,0.23954631326095477,0.6735189269543342,0.45454545454545453,0.05,0.4947710717561877,Fimap
1.256330350548461,0.22584768312396847,0.659820296817348,0.45454545454545453,0.05,0.4898915212478586,Fimap
2.2321980703674353,0.20469979229096824,0.5384144489600814,0.45454545454545453,0.3,0.47469310490118316,Fimap
1.8557119683974295,1.0313457042873475,1.8794895178878062,0.45454545454545453,0.0,0.9459580418200259,wachter
2.045597744806214,1.1600069909002138,2.054849968154316,0.45454545454545453,0.0,1.0883587654727864,wachter
1.8414317235541646,0.9558409696481645,1.8521213869126745,0.45454545454545453,0.0,0.9557783250738258,wachter
1.5394120301674072,0.8987192354450801,1.6232082393907021,0.45454545454545453,0.0,0.7350807304028257,wachter
1.7925018772526267,0.9885437764078506,1.819136569600146,0.45454545454545453,0.0,0.9136008601528643,wachter
