Proximity,Feasibility,Feasibility w.r.t k-neigbors k=50,Features Changed (normalized),Discriminative Power k=20,DCG @6,explainer
1.1003213957759412,0.1308154870688228,0.6564432579024289,0.18181818181818182,1.0,0.05016069788797062,dice
1.5505050505050506,0.4985389000688769,1.0092818400954258,0.18181818181818182,0.65,0.27525252525252525,dice
2.0,0.7696012145754184,1.5796731226721905,0.18181818181818182,0.2,0.38685280723454163,dice
1.3725895316804408,0.20217429588537933,0.36246004351203054,0.18181818181818182,0.85,0.1862947658402204,dice
1.316326530612245,0.5337647833200226,1.1113208746421697,0.18181818181818182,1.0,0.3163265306122449,dice
1.8,1.2413093498843364,1.8783150515498852,0.18181818181818182,0.05,0.3445412464587145,dice
2.0,0.6921034884386601,1.62759066071804,0.18181818181818182,0.65,0.0,dice
1.4490358126721763,0.22650147496260287,0.42313273020442566,0.18181818181818182,1.0,0.22451790633608815,dice
1.421028466483012,0.34984010434997803,0.9225520584697989,0.18181818181818182,0.85,0.21051423324150598,dice
1.3643250688705235,0.5817633215783011,1.1993218910186039,0.18181818181818182,1.0,0.1821625344352617,dice
1.0714285714285714,0.3025654542733354,0.8181795844946529,0.18181818181818182,1.0,0.07142857142857142,dice
1.4731404958677685,0.1290205919720241,0.32748636276336357,0.18181818181818182,1.0,0.2365702479338843,dice
1.2040816326530612,0.21743825270777772,0.812440007362619,0.18181818181818182,1.0,0.20408163265306123,dice
0.46938775510204084,0.5220239988519654,0.8604902780758539,0.09090909090909091,0.05,0.46938775510204084,dice
1.4591836734693877,0.6562264318535445,0.9962321363429707,0.18181818181818182,0.0,0.45918367346938777,dice
1.2,0.343720376561508,0.6710147168254642,0.18181818181818182,1.0,0.08613531161467862,dice
0.47959183673469385,0.5322280804846184,0.870694359708507,0.09090909090909091,0.05,0.47959183673469385,dice
1.489795918367347,0.9762175597436227,1.6436690010208708,0.18181818181818182,0.0,0.8766487256018886,dice
0.4387755102040816,0.49141175395400627,0.8311025229738129,0.09090909090909091,0.05,0.4387755102040816,dice
1.2,0.41743825270777773,0.7088540581931833,0.18181818181818182,1.0,0.08613531161467862,dice
2.183802064217857,0.9220479176745272,1.1214297224586647,0.5454545454545454,0.0,0.807456947370239,Fimap
2.175561773788235,1.0565593111102696,1.359356360646669,0.5454545454545454,0.0,0.805209677729059,Fimap
1.8597785911630202,0.6410679633970642,0.8394844627489845,0.5454545454545454,0.0,0.6555815439316774,Fimap
1.3118575903133811,0.6615363742387403,0.9046726911969998,0.36363636363636365,0.05,0.8058179761675963,Cadex
1.463269054178145,0.2409328499881782,0.39428107392192474,0.18181818181818182,1.0,0.23163452708907253,Cadex
2.067330842673308,0.5753297326327036,0.8607340645177893,0.36363636363636365,1.0,0.45548053614069717,Cadex
1.942491540561279,0.43350236807806636,0.7189066999631522,0.2727272727272727,1.0,0.40230401067489674,Cadex
2.094114872259331,0.39083407225410854,0.9015699119133158,0.36363636363636365,1.0,0.4669027863735441,Cadex
