Proximity,Feasibility,K_Feasibility(3),FeaturesChanged,DiscriminativePower(9),DCG@6,explainer
1.0816326530612246,0.18278356252950284,0.1859944845837425,0.18181818181818182,0.8888888888888888,0.051504469679302646,dice
1.994260789715335,1.5564137572769365,1.5831411809533016,0.18181818181818182,0.0,0.4282048147419342,dice
2.0,1.0247487406380913,1.0346816710176234,0.18181818181818182,0.0,0.38685280723454163,dice
2.0,1.277616963197868,1.2988664756650363,0.18181818181818182,0.4444444444444444,0.0,dice
0.8073059360730593,0.3714705441714747,0.39499118530464034,0.18181818181818182,1.0,0.4639497691973378,dice
2.0,0.15789305838263862,0.2877970747837196,0.18181818181818182,0.6666666666666666,0.0,dice
2.0,0.05013050130501305,0.054696711350675144,0.18181818181818182,1.0,0.0,dice
1.3333333333333333,1.1167971679716797,1.117405995977768,0.18181818181818182,1.0,0.505588536270549,dice
2.0,1.3496738803004469,1.356370988367418,0.18181818181818182,0.6666666666666666,0.38685280723454163,dice
1.0,0.10492502185295825,0.11241992785224657,0.09090909090909091,1.0,0.0,dice
0.6,0.3186236519899446,0.3618504404222124,0.09090909090909091,0.7777777777777778,0.21372431226481328,dice
0.6904761904761905,0.3646025915109585,0.43749421391334403,0.18181818181818182,0.7777777777777778,0.34406778388295645,dice
0.44246042460424606,0.07616322738569851,0.11939001581796639,0.18181818181818182,0.6666666666666666,0.1637130871453319,dice
1.4794520547945205,0.23135563617307964,0.3398154303973382,0.18181818181818182,0.7777777777777778,0.4794520547945205,dice
1.1232876712328768,0.11679716797167972,0.1356708361604164,0.18181818181818182,1.0,0.1232876712328767,dice
0.4995433789954338,0.11679716797167972,0.2056456754111852,0.18181818181818182,1.0,0.32786529555757304,dice
1.2666666666666666,1.050130501305013,1.0769189335728975,0.18181818181818182,0.8888888888888888,0.4818413904633475,dice
1.095890410958904,1.0404488976396613,1.0514695101288913,0.18181818181818182,0.1111111111111111,0.48274321819344573,dice
2.0,1.498960992405563,1.8588629183281862,0.18181818181818182,0.2222222222222222,0.38685280723454163,dice
1.2191780821917808,1.021840218402184,1.0498328270953943,0.18181818181818182,0.6666666666666666,0.6060308894263224,dice
1.4174494836924887,0.179191128506197,0.24064237567172989,0.45454545454545453,1.0,0.2372635100024049,fimap
2.3268801052561825,0.12789115646258503,0.12789115646258503,0.5454545454545454,1.0,0.19337967534830425,fimap
0.22248209538287722,0.051150409463278305,0.05571661950894041,0.36363636363636365,0.5555555555555556,0.13573220990721085,cadex
1.2551719699472645,0.09727891156462584,0.10184512161028796,0.45454545454545453,0.0,0.1329696088076069,fimap
1.1672411110468388,1.031468273866412,1.031468273866412,0.45454545454545453,0.8888888888888888,0.09725434898993957,fimap
0.18346383463834637,0.06666666666666667,0.06666666666666667,0.18181818181818182,0.1111111111111111,0.07255954226690947,cadex
0.285504650964877,0.14508433510390456,0.16083310036343304,0.2727272727272727,0.2222222222222222,0.13694012936603778,cadex
0.16768757483493202,0.027527261573985603,0.043276026833514065,0.2727272727272727,0.0,0.08093768935926565,cadex
0.05013050130501305,0.0,0.0,0.09090909090909091,0.0,0.025065250652506525,cadex
0.05013050130501305,0.0,0.0,0.09090909090909091,0.0,0.025065250652506525,cadex
0.05013050130501305,0.0,0.0,0.09090909090909091,0.0,0.025065250652506525,cadex
0.17159168851962492,0.0,0.0045662100456621,0.2727272727272727,0.5555555555555556,0.1036069170076532,wachter
0.1680971400152917,0.01020408163265306,0.01933650172397726,0.36363636363636365,0.3333333333333333,0.09634634558057972,wachter
1.0,1.0492374786761567,1.0498328270953943,0.09090909090909091,0.0,0.38685280723454163,cfproto
1.0,1.0492374786761567,1.0498328270953943,0.09090909090909091,0.0,0.38685280723454163,cfproto
1.0,1.0492374786761567,1.0498328270953943,0.09090909090909091,0.0,0.38685280723454163,cfproto
